algorithm,num_agents,seed,isr,success,reached,makespan,flowtime,detour_ratio,runtime,collisions,deadlocks_detected,deadlocks_resolved,resolution_rate,agents_replanned,memory_mb,initial_planning_time,wfg_update_time,detection_time,resolution_time,map_id,map_type,map_size
drimaps,60,42,0.6167,False,37,124,1284,1.9664,0.3993,0,129,129,1.0,170,47.77,0.0341,0.0406,0.0096,0.1272,warehouse,warehouse,32x32
drimaps_no_cycle,60,42,0.2,False,12,35,192,1.0333,0.4428,0,114,114,1.0,116,47.77,0.0424,0.0914,0.001,0.1126,warehouse,warehouse,32x32
drimaps_no_classify,60,42,0.5167,False,31,110,988,2.0728,0.4526,0,186,186,1.0,249,47.77,0.0341,0.05,0.0107,0.1753,warehouse,warehouse,32x32
drimaps_no_minimal,60,42,0.3667,False,22,163,887,2.3767,0.7545,0,367,367,1.0,948,47.77,0.0358,0.0713,0.0146,0.4375,warehouse,warehouse,32x32
drimaps,80,42,0.4625,False,37,95,1285,2.4129,0.8841,0,242,242,1.0,364,47.77,0.0568,0.0972,0.0147,0.3984,warehouse,warehouse,32x32
drimaps_no_cycle,80,42,0.075,False,6,17,60,1.0,0.6458,0,58,58,1.0,58,47.77,0.0623,0.1768,0.001,0.0996,warehouse,warehouse,32x32
drimaps_no_classify,80,42,0.4875,False,39,189,2522,3.7113,0.8609,0,283,283,1.0,411,47.77,0.0627,0.1095,0.0161,0.3616,warehouse,warehouse,32x32
drimaps_no_minimal,80,42,0.3375,False,27,96,801,1.9591,1.3465,0,461,461,1.0,1249,47.77,0.0543,0.1151,0.0164,0.8522,warehouse,warehouse,32x32
drimaps,60,123,0.4833,False,29,154,1173,2.5502,0.6236,0,227,227,1.0,417,47.77,0.0402,0.0552,0.0121,0.3381,warehouse,warehouse,32x32
drimaps_no_cycle,60,123,0.2,False,12,48,196,1.0,0.4085,0,50,50,1.0,59,47.77,0.0472,0.086,0.0008,0.1049,warehouse,warehouse,32x32
drimaps_no_classify,60,123,0.4333,False,26,92,789,1.9571,0.5352,0,213,213,1.0,306,47.77,0.0398,0.058,0.0121,0.253,warehouse,warehouse,32x32
drimaps_no_minimal,60,123,0.5,False,30,154,1619,3.3546,0.7954,0,277,277,1.0,851,47.77,0.0464,0.0597,0.0124,0.4947,warehouse,warehouse,32x32
drimaps,80,123,0.475,False,38,186,2407,3.3251,0.9563,0,472,472,1.0,631,47.77,0.0543,0.1093,0.0161,0.476,warehouse,warehouse,32x32
drimaps_no_cycle,80,123,0.1375,False,11,33,163,1.1591,0.6554,0,69,69,1.0,93,47.77,0.0562,0.1629,0.0012,0.1472,warehouse,warehouse,32x32
drimaps_no_classify,80,123,0.4,False,32,173,1778,3.2062,0.8534,0,340,340,1.0,539,47.77,0.0548,0.1165,0.0162,0.372,warehouse,warehouse,32x32
drimaps_no_minimal,80,123,0.225,False,18,137,581,1.8883,1.3717,0,580,580,1.0,1630,47.77,0.0543,0.142,0.0193,0.8525,warehouse,warehouse,32x32
drimaps,60,456,0.6,False,36,102,1388,1.9213,0.4682,0,162,162,1.0,205,47.77,0.0423,0.0414,0.0095,0.2077,warehouse,warehouse,32x32
drimaps_no_cycle,60,456,0.2667,False,16,38,248,1.1022,0.3632,0,43,43,1.0,44,47.77,0.0428,0.0733,0.0008,0.082,warehouse,warehouse,32x32
drimaps_no_classify,60,456,0.55,False,33,181,1973,3.11,0.4948,0,192,190,0.9896,266,47.77,0.0433,0.0536,0.0109,0.221,warehouse,warehouse,32x32
drimaps_no_minimal,60,456,0.6,False,36,128,1545,2.3049,0.5536,0,217,217,1.0,532,47.77,0.0424,0.0427,0.0093,0.2928,warehouse,warehouse,32x32
drimaps,80,456,0.5,False,40,142,2181,3.086,0.8965,0,335,335,1.0,483,47.77,0.0589,0.1024,0.0164,0.4085,warehouse,warehouse,32x32
drimaps_no_cycle,80,456,0.125,False,10,41,159,1.2153,0.7996,0,145,145,1.0,153,47.77,0.0605,0.1701,0.0012,0.2412,warehouse,warehouse,32x32
drimaps_no_classify,80,456,0.425,False,34,181,1945,3.2971,0.8048,0,291,291,1.0,406,47.77,0.0528,0.1167,0.018,0.3094,warehouse,warehouse,32x32
drimaps_no_minimal,80,456,0.4,False,32,104,1242,2.3158,1.3931,0,482,482,1.0,1308,47.77,0.0533,0.1112,0.0168,0.9068,warehouse,warehouse,32x32
drimaps,60,789,0.4,False,24,122,1154,2.7869,0.7613,0,316,316,1.0,466,47.77,0.0471,0.0702,0.0137,0.4381,warehouse,warehouse,32x32
drimaps_no_cycle,60,789,0.1,False,6,24,78,1.0,0.4392,0,60,60,1.0,67,47.77,0.0498,0.1026,0.0009,0.1042,warehouse,warehouse,32x32
drimaps_no_classify,60,789,0.4,False,24,205,1178,2.6466,0.5914,0,209,209,1.0,316,47.77,0.0485,0.0699,0.0134,0.2747,warehouse,warehouse,32x32
drimaps_no_minimal,60,789,0.3333,False,20,167,1389,2.5256,1.0668,0,378,378,1.0,1175,47.77,0.0481,0.0841,0.0157,0.7243,warehouse,warehouse,32x32
drimaps,80,789,0.475,False,38,109,1528,2.5662,0.9142,0,357,357,1.0,497,47.77,0.0515,0.1026,0.0163,0.4158,warehouse,warehouse,32x32
drimaps_no_cycle,80,789,0.1875,False,15,33,264,1.5382,0.8599,0,203,203,1.0,203,47.77,0.0531,0.1629,0.0014,0.3258,warehouse,warehouse,32x32
drimaps_no_classify,80,789,0.3875,False,31,187,1452,2.8748,0.839,0,335,335,1.0,531,47.77,0.0517,0.1202,0.0178,0.3276,warehouse,warehouse,32x32
drimaps_no_minimal,80,789,0.4125,False,33,121,1663,3.2576,1.2286,0,513,513,1.0,1345,47.77,0.0507,0.1161,0.0177,0.7207,warehouse,warehouse,32x32
drimaps,60,1024,0.5167,False,31,83,933,1.7768,0.4702,0,178,178,1.0,210,47.77,0.0386,0.0495,0.0106,0.1835,warehouse,warehouse,32x32
drimaps_no_cycle,60,1024,0.2,False,12,27,136,1.0622,0.5079,0,109,109,1.0,116,47.77,0.0395,0.0865,0.001,0.1818,warehouse,warehouse,32x32
drimaps_no_classify,60,1024,0.5333,False,32,164,1633,3.1643,0.4797,0,193,193,1.0,298,47.77,0.0385,0.0541,0.0115,0.1989,warehouse,warehouse,32x32
drimaps_no_minimal,60,1024,0.4167,False,25,115,651,1.3549,0.7386,0,285,285,1.0,773,47.77,0.0467,0.0606,0.012,0.4412,warehouse,warehouse,32x32
drimaps,80,1024,0.4,False,32,67,900,1.9581,0.8745,0,301,301,1.0,447,47.77,0.0548,0.1001,0.0154,0.4136,warehouse,warehouse,32x32
drimaps_no_cycle,80,1024,0.175,False,14,82,351,1.8434,0.7887,0,185,185,1.0,186,47.77,0.0557,0.1549,0.0012,0.2795,warehouse,warehouse,32x32
drimaps_no_classify,80,1024,0.3625,False,29,156,1100,2.8148,0.8062,0,304,304,1.0,392,47.77,0.056,0.1142,0.0165,0.319,warehouse,warehouse,32x32
drimaps_no_minimal,80,1024,0.3625,False,29,151,1182,2.6111,1.1369,0,407,407,1.0,1132,47.77,0.0576,0.116,0.0164,0.6415,warehouse,warehouse,32x32
drimaps,60,7,0.75,False,45,131,1506,1.8399,0.4401,0,153,153,1.0,211,47.77,0.0367,0.0333,0.0084,0.1793,warehouse,warehouse,32x32
drimaps_no_cycle,60,7,0.3333,False,20,42,360,1.0783,0.4548,0,115,115,1.0,115,47.77,0.0362,0.0683,0.0009,0.1605,warehouse,warehouse,32x32
drimaps_no_classify,60,7,0.65,False,39,173,1674,2.4625,0.4137,0,134,134,1.0,159,47.77,0.0368,0.0428,0.0099,0.1355,warehouse,warehouse,32x32
drimaps_no_minimal,60,7,0.5167,False,31,111,925,1.7135,0.7263,0,303,303,1.0,728,47.77,0.0374,0.051,0.0121,0.4369,warehouse,warehouse,32x32
drimaps,80,7,0.575,False,46,151,1940,2.2887,0.785,0,233,233,1.0,368,47.77,0.0569,0.0858,0.0142,0.3193,warehouse,warehouse,32x32
drimaps_no_cycle,80,7,0.225,False,18,33,341,1.162,0.8438,0,195,195,1.0,211,47.77,0.0565,0.1513,0.0013,0.3214,warehouse,warehouse,32x32
drimaps_no_classify,80,7,0.375,False,30,190,1582,2.8642,0.8748,0,357,357,1.0,504,47.77,0.0547,0.125,0.0187,0.3529,warehouse,warehouse,32x32
drimaps_no_minimal,80,7,0.3875,False,31,117,1025,2.1174,1.2107,0,421,421,1.0,1208,47.77,0.0675,0.1137,0.0181,0.6895,warehouse,warehouse,32x32
drimaps,60,88,0.6,False,36,157,1600,2.1072,0.5529,0,263,263,1.0,317,47.77,0.0431,0.0471,0.0106,0.2605,warehouse,warehouse,32x32
drimaps_no_cycle,60,88,0.3167,False,19,68,422,1.1911,0.5892,0,205,205,1.0,208,47.77,0.0432,0.0759,0.001,0.2793,warehouse,warehouse,32x32
drimaps_no_classify,60,88,0.5333,False,32,180,1996,3.2545,0.5483,0,244,244,1.0,334,47.77,0.0426,0.0612,0.0123,0.246,warehouse,warehouse,32x32
drimaps_no_minimal,60,88,0.35,False,21,120,668,2.0618,0.9157,0,381,381,1.0,986,47.77,0.0433,0.0715,0.0141,0.5948,warehouse,warehouse,32x32
drimaps,80,88,0.45,False,36,121,1319,2.4905,0.933,0,334,334,1.0,506,47.77,0.0568,0.102,0.0153,0.4294,warehouse,warehouse,32x32
drimaps_no_cycle,80,88,0.1125,False,9,35,146,1.3086,0.7314,0,122,122,1.0,128,47.77,0.054,0.18,0.0012,0.1772,warehouse,warehouse,32x32
drimaps_no_classify,80,88,0.4,False,32,120,1099,2.3533,0.9039,0,396,396,1.0,501,47.77,0.0541,0.1148,0.0182,0.3895,warehouse,warehouse,32x32
drimaps_no_minimal,80,88,0.3,False,24,96,901,2.128,1.2256,0,538,538,1.0,1504,47.77,0.0542,0.1327,0.019,0.6935,warehouse,warehouse,32x32
drimaps,60,2024,0.7,False,42,106,1396,1.874,0.4398,0,130,130,1.0,168,47.77,0.0391,0.0331,0.0077,0.1868,warehouse,warehouse,32x32
drimaps_no_cycle,60,2024,0.1833,False,11,43,179,1.012,0.3589,0,32,32,1.0,32,47.77,0.0411,0.0878,0.0008,0.0601,warehouse,warehouse,32x32
drimaps_no_classify,60,2024,0.5667,False,34,145,1482,2.3037,0.4576,0,139,139,1.0,188,47.77,0.0418,0.0502,0.011,0.1764,warehouse,warehouse,32x32
drimaps_no_minimal,60,2024,0.3833,False,23,52,516,1.5379,0.7369,0,307,307,1.0,838,47.77,0.0409,0.0619,0.0123,0.4331,warehouse,warehouse,32x32
drimaps,80,2024,0.475,False,38,140,1292,2.2936,0.845,0,321,304,0.947,402,47.77,0.0565,0.0925,0.0143,0.3698,warehouse,warehouse,32x32
drimaps_no_cycle,80,2024,0.2,False,16,55,323,1.2062,0.7061,0,111,111,1.0,112,47.77,0.0557,0.1482,0.0012,0.199,warehouse,warehouse,32x32
drimaps_no_classify,80,2024,0.475,False,38,118,1736,3.0901,0.7714,0,257,249,0.9689,353,47.77,0.0552,0.0986,0.0143,0.2969,warehouse,warehouse,32x32
drimaps_no_minimal,80,2024,0.2625,False,21,164,867,2.3226,1.4938,0,616,616,1.0,1602,47.77,0.0554,0.1376,0.0192,0.9691,warehouse,warehouse,32x32
drimaps,60,13579,0.5667,False,34,112,1476,2.1458,0.5861,0,223,223,1.0,312,47.77,0.0534,0.0506,0.0108,0.2873,warehouse,warehouse,32x32
drimaps_no_cycle,60,13579,0.1333,False,8,32,113,1.0417,0.4514,0,63,63,1.0,69,47.77,0.0463,0.0997,0.0009,0.1178,warehouse,warehouse,32x32
drimaps_no_classify,60,13579,0.3167,False,19,101,597,2.2881,0.6469,0,230,230,1.0,390,47.77,0.0458,0.0744,0.0139,0.3231,warehouse,warehouse,32x32
drimaps_no_minimal,60,13579,0.3,False,18,70,515,1.5127,1.0068,0,392,392,1.0,1106,47.77,0.0452,0.0763,0.0147,0.6829,warehouse,warehouse,32x32
drimaps,80,13579,0.5375,False,43,150,2080,2.9496,0.9128,0,296,296,1.0,422,47.77,0.0545,0.0933,0.0152,0.427,warehouse,warehouse,32x32
drimaps_no_cycle,80,13579,0.175,False,14,38,176,1.5633,0.7655,0,121,121,1.0,125,47.77,0.0546,0.1635,0.0012,0.2248,warehouse,warehouse,32x32
drimaps_no_classify,80,13579,0.45,False,36,201,2062,4.2176,0.9301,0,306,306,1.0,481,47.77,0.0539,0.1139,0.0227,0.4176,warehouse,warehouse,32x32
drimaps_no_minimal,80,13579,0.3375,False,27,62,700,2.0846,1.3471,0,453,453,1.0,1264,47.77,0.0533,0.1204,0.0179,0.8307,warehouse,warehouse,32x32
drimaps,60,24680,0.6167,False,37,153,1258,2.108,0.5598,0,223,223,1.0,328,47.77,0.0373,0.0427,0.011,0.2835,warehouse,warehouse,32x32
drimaps_no_cycle,60,24680,0.25,False,15,45,189,1.0667,0.3735,0,38,38,1.0,40,47.77,0.0434,0.0826,0.0009,0.068,warehouse,warehouse,32x32
drimaps_no_classify,60,24680,0.5667,False,34,149,1239,2.122,0.4749,0,175,175,1.0,225,47.77,0.0377,0.0477,0.011,0.1935,warehouse,warehouse,32x32
drimaps_no_minimal,60,24680,0.4667,False,28,78,654,1.8477,0.7522,0,333,333,1.0,750,47.77,0.0375,0.0531,0.0117,0.4592,warehouse,warehouse,32x32
drimaps,80,24680,0.5875,False,47,94,1911,2.4866,0.7588,0,241,241,1.0,335,47.77,0.0574,0.0804,0.0132,0.303,warehouse,warehouse,32x32
drimaps_no_cycle,80,24680,0.1375,False,11,28,115,1.0267,0.718,0,114,114,1.0,117,47.77,0.0522,0.1631,0.0011,0.1887,warehouse,warehouse,32x32
drimaps_no_classify,80,24680,0.4,False,32,165,1603,3.2501,0.7921,0,279,279,1.0,411,47.77,0.0524,0.116,0.0233,0.2771,warehouse,warehouse,32x32
drimaps_no_minimal,80,24680,0.375,False,30,106,1111,2.0811,1.3055,0,421,421,1.0,1259,47.77,0.0545,0.118,0.0176,0.7892,warehouse,warehouse,32x32
drimaps,60,42,0.4333,False,26,75,773,2.0276,0.6266,0,315,315,1.0,487,47.77,0.0307,0.0662,0.0135,0.306,corridor,corridor,32x32
drimaps_no_cycle,60,42,0.1333,False,8,24,91,1.0,0.4243,0,53,53,1.0,59,47.77,0.0288,0.1067,0.0009,0.0837,corridor,corridor,32x32
drimaps_no_classify,60,42,0.4833,False,29,222,2245,4.3418,0.4961,0,267,267,1.0,356,47.77,0.0294,0.0725,0.014,0.1684,corridor,corridor,32x32
drimaps_no_minimal,60,42,0.2167,False,13,53,231,1.3754,0.9021,0,416,416,1.0,1325,47.77,0.0282,0.0983,0.0171,0.539,corridor,corridor,32x32
drimaps,80,42,0.2875,False,23,113,901,2.2372,0.9706,0,478,478,1.0,697,47.77,0.0406,0.146,0.0198,0.4032,corridor,corridor,32x32
drimaps_no_cycle,80,42,0.075,False,6,16,46,1.0,0.6616,0,64,64,1.0,64,47.77,0.0426,0.1923,0.0011,0.0761,corridor,corridor,32x32
drimaps_no_classify,80,42,0.35,False,28,212,2303,5.744,0.8199,0,347,347,1.0,619,47.77,0.0408,0.1475,0.0198,0.2688,corridor,corridor,32x32
drimaps_no_minimal,80,42,0.175,False,14,206,462,2.0368,1.4203,0,489,489,1.0,1963,47.77,0.0424,0.1798,0.0222,0.8197,corridor,corridor,32x32
drimaps,60,123,0.5,False,30,167,1238,2.3448,0.4858,0,146,146,1.0,264,47.77,0.0352,0.0558,0.0112,0.1957,corridor,corridor,32x32
drimaps_no_cycle,60,123,0.1667,False,10,41,155,1.6412,0.4412,0,98,98,1.0,103,47.77,0.0324,0.0911,0.0009,0.1223,corridor,corridor,32x32
drimaps_no_classify,60,123,0.4,False,24,183,1202,3.4652,0.5742,0,292,292,1.0,534,47.77,0.0318,0.069,0.0134,0.2734,corridor,corridor,32x32
drimaps_no_minimal,60,123,0.2333,False,14,31,243,1.2138,0.9962,0,364,364,1.0,1323,47.77,0.041,0.0844,0.0145,0.6606,corridor,corridor,32x32
drimaps,80,123,0.4625,False,37,171,1942,3.2124,0.9505,0,298,298,1.0,632,47.77,0.0418,0.1122,0.017,0.4411,corridor,corridor,32x32
drimaps_no_cycle,80,123,0.075,False,6,33,80,1.0648,0.6489,0,64,64,1.0,65,47.77,0.0407,0.1878,0.0011,0.0913,corridor,corridor,32x32
drimaps_no_classify,80,123,0.25,False,20,140,1021,4.0472,0.9472,0,352,352,1.0,691,47.77,0.0435,0.154,0.0209,0.3788,corridor,corridor,32x32
drimaps_no_minimal,80,123,0.3,False,24,200,1501,3.1805,1.3745,0,479,479,1.0,1588,47.77,0.0418,0.1479,0.0192,0.8248,corridor,corridor,32x32
drimaps,60,456,0.4167,False,25,96,1019,2.0598,0.6046,0,246,246,1.0,410,47.77,0.0322,0.066,0.0136,0.2949,corridor,corridor,32x32
drimaps_no_cycle,60,456,0.1167,False,7,24,74,1.0,0.4445,0,92,92,1.0,94,47.77,0.0332,0.1022,0.0009,0.1175,corridor,corridor,32x32
drimaps_no_classify,60,456,0.35,False,21,130,996,2.5233,0.5327,0,248,248,1.0,420,47.77,0.0336,0.0803,0.0153,0.2029,corridor,corridor,32x32
drimaps_no_minimal,60,456,0.2333,False,14,60,374,1.7504,0.823,0,367,367,1.0,1012,47.77,0.0325,0.0884,0.0151,0.4699,corridor,corridor,32x32
drimaps,80,456,0.3,False,24,123,1036,2.3327,1.0605,0,329,329,1.0,659,47.77,0.049,0.1439,0.0194,0.4821,corridor,corridor,32x32
drimaps_no_cycle,80,456,0.125,False,10,44,208,1.1604,0.6945,0,71,71,1.0,90,47.77,0.0488,0.1862,0.0012,0.1228,corridor,corridor,32x32
drimaps_no_classify,80,456,0.275,False,22,117,957,2.6216,0.8846,0,335,335,1.0,528,47.77,0.0477,0.1456,0.0199,0.3275,corridor,corridor,32x32
drimaps_no_minimal,80,456,0.175,False,14,81,526,1.6341,1.6355,0,506,506,1.0,1940,47.77,0.05,0.1784,0.0226,1.0351,corridor,corridor,32x32
drimaps,60,789,0.4,False,24,75,751,2.2188,0.5997,0,229,229,1.0,484,47.77,0.0288,0.066,0.0136,0.294,corridor,corridor,32x32
drimaps_no_cycle,60,789,0.1,False,6,32,82,1.3709,0.4248,0,103,103,1.0,108,47.77,0.029,0.1061,0.0009,0.105,corridor,corridor,32x32
drimaps_no_classify,60,789,0.4,False,24,212,1454,3.8204,0.5154,0,250,250,1.0,392,47.77,0.0292,0.0742,0.014,0.2044,corridor,corridor,32x32
drimaps_no_minimal,60,789,0.3,False,18,94,613,3.0127,0.791,0,352,352,1.0,1082,47.77,0.0269,0.0802,0.0144,0.4706,corridor,corridor,32x32
drimaps,80,789,0.425,False,34,118,1396,2.2971,1.0623,0,364,364,1.0,738,47.77,0.0454,0.1135,0.0178,0.5532,corridor,corridor,32x32
drimaps_no_cycle,80,789,0.1,False,8,72,130,1.2083,0.6291,0,50,50,1.0,54,47.77,0.0457,0.1847,0.0012,0.073,corridor,corridor,32x32
drimaps_no_classify,80,789,0.375,False,30,203,1838,3.3127,0.9214,0,396,396,1.0,633,47.77,0.0456,0.1329,0.0196,0.3885,corridor,corridor,32x32
drimaps_no_minimal,80,789,0.2375,False,19,119,644,2.2495,1.6419,0,520,520,1.0,1769,47.77,0.0546,0.1586,0.0215,1.0549,corridor,corridor,32x32
drimaps,60,1024,0.4667,False,28,81,848,2.0416,0.4978,0,202,202,1.0,386,47.77,0.0309,0.0515,0.0103,0.234,corridor,corridor,32x32
drimaps_no_cycle,60,1024,0.2,False,12,36,176,1.3769,0.4542,0,152,152,1.0,153,47.77,0.03,0.0815,0.0009,0.1655,corridor,corridor,32x32
drimaps_no_classify,60,1024,0.4333,False,26,105,877,2.1946,0.4124,0,179,179,1.0,280,47.77,0.0313,0.0557,0.011,0.1462,corridor,corridor,32x32
drimaps_no_minimal,60,1024,0.3667,False,22,109,816,2.2205,0.7256,0,312,312,1.0,900,47.77,0.0303,0.0634,0.0113,0.4467,corridor,corridor,32x32
drimaps,80,1024,0.4,False,32,74,1126,2.3397,0.9283,0,323,323,1.0,471,47.77,0.0449,0.1143,0.0171,0.424,corridor,corridor,32x32
drimaps_no_cycle,80,1024,0.0625,False,5,29,87,1.2143,0.637,0,60,60,1.0,61,47.77,0.0442,0.1906,0.0011,0.0823,corridor,corridor,32x32
drimaps_no_classify,80,1024,0.3125,False,25,198,1327,3.951,0.8336,0,344,344,1.0,541,47.77,0.0437,0.1367,0.0193,0.3069,corridor,corridor,32x32
drimaps_no_minimal,80,1024,0.2625,False,21,106,895,2.3429,1.449,0,568,568,1.0,1634,47.77,0.0435,0.1432,0.0189,0.9134,corridor,corridor,32x32
drimaps,60,7,0.5,False,30,168,1718,2.8108,0.5375,0,220,220,1.0,373,47.77,0.0326,0.0622,0.0121,0.2384,corridor,corridor,32x32
drimaps_no_cycle,60,7,0.1833,False,11,22,130,1.0772,0.5223,0,198,198,1.0,211,47.77,0.0321,0.0923,0.001,0.2093,corridor,corridor,32x32
drimaps_no_classify,60,7,0.3333,False,20,200,915,3.2144,0.5349,0,213,213,1.0,349,47.77,0.0332,0.0779,0.0145,0.2115,corridor,corridor,32x32
drimaps_no_minimal,60,7,0.2667,False,16,54,322,1.3332,0.9007,0,359,359,1.0,1185,47.77,0.0311,0.0814,0.0149,0.5791,corridor,corridor,32x32
drimaps,80,7,0.3875,False,31,122,1155,2.3578,0.8929,0,292,292,1.0,535,47.77,0.04,0.1195,0.017,0.3696,corridor,corridor,32x32
drimaps_no_cycle,80,7,0.125,False,10,20,80,1.25,0.738,0,134,134,1.0,200,47.77,0.0401,0.18,0.0012,0.1844,corridor,corridor,32x32
drimaps_no_classify,80,7,0.325,False,26,186,1044,3.1342,0.8335,0,347,347,1.0,582,47.77,0.0396,0.133,0.0192,0.3039,corridor,corridor,32x32
drimaps_no_minimal,80,7,0.2625,False,21,206,934,2.7097,1.4173,0,504,504,1.0,1819,47.77,0.0382,0.1553,0.0211,0.8449,corridor,corridor,32x32
drimaps,60,88,0.45,False,27,108,988,1.7817,0.4986,0,169,169,1.0,252,47.77,0.0328,0.0626,0.0122,0.194,corridor,corridor,32x32
drimaps_no_cycle,60,88,0.1833,False,11,28,155,1.0,0.3661,0,37,37,1.0,37,47.77,0.0339,0.0942,0.0009,0.0503,corridor,corridor,32x32
drimaps_no_classify,60,88,0.35,False,21,90,604,1.552,0.5583,0,189,189,1.0,399,47.77,0.0342,0.0706,0.0209,0.234,corridor,corridor,32x32
drimaps_no_minimal,60,88,0.3167,False,19,63,472,1.3745,0.9708,0,366,366,1.0,1224,47.77,0.0336,0.0755,0.0148,0.646,corridor,corridor,32x32
drimaps,80,88,0.3,False,24,163,1308,2.6108,1.2951,0,311,311,1.0,649,47.77,0.045,0.1465,0.0188,0.4672,corridor,corridor,32x32
drimaps_no_cycle,80,88,0.075,False,6,13,45,1.0,0.901,0,39,39,1.0,42,47.77,0.0503,0.1894,0.0013,0.0583,corridor,corridor,32x32
drimaps_no_classify,80,88,0.2625,False,21,188,1032,2.9826,1.3074,0,416,416,1.0,814,47.77,0.0445,0.1536,0.0208,0.4654,corridor,corridor,32x32
drimaps_no_minimal,80,88,0.225,False,18,57,504,1.5288,1.9023,0,468,468,1.0,1925,47.77,0.0434,0.1562,0.0208,1.0584,corridor,corridor,32x32
drimaps,60,2024,0.4167,False,25,59,622,1.6833,0.5715,0,201,201,1.0,309,47.77,0.0347,0.0568,0.011,0.2902,corridor,corridor,32x32
drimaps_no_cycle,60,2024,0.1333,False,8,27,86,1.175,0.3595,0,38,35,0.9211,38,47.77,0.0345,0.0938,0.0008,0.0534,corridor,corridor,32x32
drimaps_no_classify,60,2024,0.3667,False,22,82,822,2.7651,0.507,0,249,249,1.0,335,47.77,0.0357,0.0684,0.0128,0.2114,corridor,corridor,32x32
drimaps_no_minimal,60,2024,0.4833,False,29,115,1136,2.1242,0.7012,0,213,213,1.0,642,47.77,0.0336,0.0551,0.0111,0.4205,corridor,corridor,32x32
drimaps,80,2024,0.4875,False,39,177,2148,2.9677,0.9575,0,335,335,1.0,618,47.77,0.043,0.1062,0.0164,0.4738,corridor,corridor,32x32
drimaps_no_cycle,80,2024,0.1,False,8,44,141,1.1952,0.6479,0,87,87,1.0,94,47.77,0.0432,0.1739,0.0011,0.1245,corridor,corridor,32x32
drimaps_no_classify,80,2024,0.425,False,34,191,1815,3.171,0.8616,0,350,350,1.0,661,47.77,0.0459,0.1159,0.0171,0.3752,corridor,corridor,32x32
drimaps_no_minimal,80,2024,0.275,False,22,113,1033,2.6976,1.2889,0,488,488,1.0,1452,47.77,0.0435,0.1388,0.0193,0.774,corridor,corridor,32x32
drimaps,60,13579,0.4333,False,26,187,1540,2.779,0.9225,0,274,274,1.0,521,47.77,0.0342,0.0701,0.013,0.3351,corridor,corridor,32x32
drimaps_no_cycle,60,13579,0.1167,False,7,34,110,1.0,0.6851,0,37,37,1.0,88,47.77,0.0398,0.1023,0.001,0.0923,corridor,corridor,32x32
drimaps_no_classify,60,13579,0.3667,False,22,98,1107,2.8518,0.836,0,243,243,1.0,428,47.77,0.0343,0.0754,0.0133,0.2452,corridor,corridor,32x32
drimaps_no_minimal,60,13579,0.2167,False,13,66,359,1.3778,1.3384,0,416,416,1.0,1410,47.77,0.0339,0.0897,0.0154,0.7247,corridor,corridor,32x32
drimaps,80,13579,0.3875,False,31,135,1252,2.1986,0.7636,0,291,291,1.0,449,47.77,0.0378,0.1128,0.0166,0.2776,corridor,corridor,32x32
drimaps_no_cycle,80,13579,0.1125,False,9,30,123,1.0,0.5955,0,45,45,1.0,55,47.77,0.0383,0.1714,0.0011,0.0767,corridor,corridor,32x32
drimaps_no_classify,80,13579,0.4125,False,33,168,2134,4.0233,0.7367,0,339,339,1.0,524,47.77,0.0381,0.1227,0.0175,0.2478,corridor,corridor,32x32
drimaps_no_minimal,80,13579,0.325,False,26,172,1285,2.7049,1.19,0,440,440,1.0,1476,47.77,0.0369,0.135,0.0284,0.6675,corridor,corridor,32x32
drimaps,60,24680,0.4667,False,28,193,1571,2.9284,0.5808,0,251,251,1.0,331,47.77,0.0343,0.0661,0.0127,0.2729,corridor,corridor,32x32
drimaps_no_cycle,60,24680,0.1,False,6,26,53,1.1786,0.4189,0,68,68,1.0,100,47.77,0.0345,0.1027,0.0009,0.1008,corridor,corridor,32x32
drimaps_no_classify,60,24680,0.3667,False,22,207,1568,3.4721,0.6519,0,329,329,1.0,567,47.77,0.0326,0.0819,0.015,0.3322,corridor,corridor,32x32
drimaps_no_minimal,60,24680,0.2167,False,13,79,358,2.5208,1.0147,0,412,412,1.0,1258,47.77,0.0333,0.0922,0.016,0.6763,corridor,corridor,32x32
drimaps,80,24680,0.2625,False,21,194,726,2.4393,1.0518,0,453,453,1.0,831,47.77,0.0417,0.1393,0.018,0.5268,corridor,corridor,32x32
drimaps_no_cycle,80,24680,0.0875,False,7,12,30,1.0,0.6218,0,76,76,1.0,102,47.77,0.0419,0.1764,0.0011,0.1007,corridor,corridor,32x32
drimaps_no_classify,80,24680,0.3375,False,27,191,1678,6.6703,0.8327,0,356,356,1.0,616,47.77,0.0416,0.1344,0.0186,0.3154,corridor,corridor,32x32
drimaps_no_minimal,80,24680,0.25,False,20,62,506,2.6309,1.2834,0,447,447,1.0,1455,47.77,0.0495,0.1361,0.0186,0.7457,corridor,corridor,32x32
drimaps,60,42,0.4667,False,28,33,427,1.1036,0.8673,0,235,235,1.0,436,47.77,0.0541,0.0512,0.0116,0.5632,bottleneck,bottleneck,32x32
drimaps_no_cycle,60,42,0.3833,False,23,33,322,1.0543,0.4585,0,62,62,1.0,63,47.77,0.0634,0.0616,0.0009,0.1505,bottleneck,bottleneck,32x32
