algorithm,num_agents,seed,isr,success,reached,makespan,flowtime,detour_ratio,runtime,collisions,deadlocks_detected,deadlocks_resolved,resolution_rate,agents_replanned,memory_mb,initial_planning_time,wfg_update_time,detection_time,resolution_time,map_id,map_type,map_size
drimaps_no_cycle,60,1024,0.1333,False,8,25,112,1.0,0.3947,0,35,35,1.0,37,47.56,0.0529,0.0933,0.0008,0.0821,random,random,32x32
drimaps_no_classify,60,1024,0.7,False,42,180,2455,2.7428,0.4825,0,147,147,1.0,206,47.56,0.0519,0.0422,0.0087,0.2061,random,random,32x32
drimaps_no_minimal,60,1024,0.5667,False,34,98,1395,2.2453,0.6191,0,190,190,1.0,446,47.56,0.0522,0.0469,0.0096,0.3348,random,random,32x32
drimaps,80,1024,0.4125,False,33,115,1100,1.8577,1.6687,0,378,378,1.0,601,47.56,0.0858,0.1097,0.0179,0.7126,random,random,32x32
drimaps_no_cycle,80,1024,0.125,False,10,52,193,1.0429,1.1164,0,61,61,1.0,62,47.56,0.0868,0.1788,0.0013,0.1297,random,random,32x32
drimaps_no_classify,80,1024,0.475,False,38,169,2547,3.7001,1.4587,0,309,309,1.0,521,47.56,0.0829,0.1164,0.0168,0.5048,random,random,32x32
drimaps_no_minimal,80,1024,0.55,False,44,113,2155,2.6702,1.6472,0,287,287,1.0,837,47.56,0.0782,0.0937,0.015,0.7164,random,random,32x32
drimaps,60,7,0.5,False,30,62,666,1.4138,0.5009,0,138,138,1.0,176,47.56,0.0535,0.0476,0.0095,0.2048,random,random,32x32
drimaps_no_cycle,60,7,0.2833,False,17,35,203,1.0,0.4843,0,87,87,1.0,90,47.56,0.0597,0.0724,0.0009,0.1794,random,random,32x32
drimaps_no_classify,60,7,0.5667,False,34,111,1155,1.9395,0.444,0,128,128,1.0,169,47.56,0.0509,0.0429,0.0083,0.1668,random,random,32x32
drimaps_no_minimal,60,7,0.5833,False,35,127,1184,1.6119,0.6207,0,158,158,1.0,370,47.56,0.0588,0.0428,0.0091,0.3261,random,random,32x32
drimaps,80,7,0.5625,False,45,69,1150,1.6985,0.6979,0,169,169,1.0,214,47.56,0.0616,0.076,0.013,0.2331,random,random,32x32
drimaps_no_cycle,80,7,0.325,False,26,51,486,1.2377,0.6661,0,79,79,1.0,81,47.56,0.0702,0.123,0.0011,0.1661,random,random,32x32
drimaps_no_classify,80,7,0.5625,False,45,160,1655,2.4561,0.7106,0,185,185,1.0,279,47.56,0.0622,0.0834,0.0124,0.2174,random,random,32x32
drimaps_no_minimal,80,7,0.575,False,46,88,1280,1.8264,0.8718,0,178,178,1.0,475,47.56,0.0611,0.0724,0.0112,0.4124,random,random,32x32
drimaps,60,88,0.5833,False,35,83,916,1.5279,0.5749,0,157,157,1.0,219,47.56,0.0531,0.0413,0.0095,0.2927,random,random,32x32
drimaps_no_cycle,60,88,0.2667,False,16,36,247,1.0521,0.3986,0,46,46,1.0,48,47.56,0.0515,0.0777,0.0009,0.0999,random,random,32x32
drimaps_no_classify,60,88,0.55,False,33,113,914,1.7515,0.4714,0,162,162,1.0,183,47.56,0.0615,0.045,0.0101,0.1833,random,random,32x32
drimaps_no_minimal,60,88,0.6,False,36,73,999,1.6482,0.6294,0,213,213,1.0,463,47.56,0.0524,0.0405,0.0096,0.3541,random,random,32x32
drimaps,80,88,0.5125,False,41,108,1346,1.9176,0.9348,0,333,333,1.0,397,47.56,0.0741,0.0851,0.0136,0.4642,random,random,32x32
drimaps_no_cycle,80,88,0.15,False,12,32,183,1.0486,0.6341,0,43,43,1.0,44,47.56,0.0817,0.1588,0.0011,0.0993,random,random,32x32
drimaps_no_classify,80,88,0.525,False,42,137,2065,2.6927,0.8788,0,285,285,1.0,395,47.56,0.0755,0.0934,0.0144,0.405,random,random,32x32
drimaps_no_minimal,80,88,0.6,False,48,120,2580,2.8385,1.1063,0,295,295,1.0,870,47.56,0.0747,0.086,0.0142,0.6336,random,random,32x32
drimaps,60,2024,0.5833,False,35,53,740,1.3697,0.4116,0,82,82,1.0,86,47.56,0.0554,0.0378,0.0094,0.1263,random,random,32x32
drimaps_no_cycle,60,2024,0.35,False,21,41,302,1.1778,0.5683,0,189,189,1.0,190,47.56,0.0493,0.0648,0.0009,0.2768,random,random,32x32
drimaps_no_classify,60,2024,0.6167,False,37,89,1128,1.902,0.3889,0,100,83,0.83,94,47.56,0.0557,0.0376,0.0074,0.1159,random,random,32x32
drimaps_no_minimal,60,2024,0.5667,False,34,61,737,1.4249,0.5138,0,169,169,1.0,375,47.56,0.0508,0.0394,0.0083,0.2404,random,random,32x32
drimaps,80,2024,0.575,False,46,104,1410,1.7336,0.7869,0,255,255,1.0,311,47.56,0.0697,0.073,0.0117,0.3304,random,random,32x32
drimaps_no_cycle,80,2024,0.325,False,26,59,531,1.4105,0.5918,0,59,59,1.0,60,47.56,0.0652,0.1161,0.001,0.1262,random,random,32x32
drimaps_no_classify,80,2024,0.6,False,48,196,2324,2.5593,0.6921,0,198,198,1.0,279,47.56,0.0737,0.0783,0.0123,0.2263,random,random,32x32
drimaps_no_minimal,80,2024,0.5875,False,47,70,1569,2.2128,0.8742,0,229,229,1.0,590,47.56,0.0678,0.0736,0.0124,0.4169,random,random,32x32
drimaps,60,13579,0.6167,False,37,94,957,1.5529,0.4067,0,160,160,1.0,167,47.56,0.0497,0.0355,0.0081,0.1483,random,random,32x32
drimaps_no_cycle,60,13579,0.4,False,24,67,562,1.3279,0.4984,0,179,179,1.0,180,47.56,0.0487,0.0569,0.0009,0.2281,random,random,32x32
drimaps_no_classify,60,13579,0.6333,False,38,103,1448,2.8507,0.3923,0,130,130,1.0,169,47.56,0.0556,0.0401,0.0097,0.1222,random,random,32x32
drimaps_no_minimal,60,13579,0.6333,False,38,78,1080,1.5004,0.4796,0,182,182,1.0,447,47.56,0.0553,0.0364,0.0094,0.2221,random,random,32x32
drimaps,80,13579,0.3375,False,27,83,545,1.4794,0.9801,0,371,371,1.0,474,47.56,0.0634,0.1111,0.0165,0.4705,random,random,32x32
drimaps_no_cycle,80,13579,0.2125,False,17,53,316,1.1747,0.6258,0,63,63,1.0,67,47.56,0.0621,0.1479,0.0011,0.1237,random,random,32x32
drimaps_no_classify,80,13579,0.4375,False,35,128,1408,2.4121,0.8255,0,257,257,1.0,343,47.56,0.0686,0.1025,0.0156,0.3335,random,random,32x32
drimaps_no_minimal,80,13579,0.375,False,30,77,941,2.1541,1.3001,0,437,437,1.0,1174,47.56,0.0596,0.1101,0.0178,0.8049,random,random,32x32
drimaps,60,24680,0.7167,False,43,94,1625,1.6805,0.4699,0,123,123,1.0,134,47.56,0.0665,0.0333,0.0078,0.1915,random,random,32x32
drimaps_no_cycle,60,24680,0.2,False,12,28,201,1.1256,0.4609,0,65,65,1.0,66,47.56,0.0684,0.082,0.0009,0.1383,random,random,32x32
drimaps_no_classify,60,24680,0.55,False,33,168,1299,1.9409,0.4797,0,153,153,1.0,179,47.56,0.059,0.0471,0.0093,0.1899,random,random,32x32
drimaps_no_minimal,60,24680,0.6,False,36,90,1332,1.7898,0.5958,0,177,177,1.0,396,47.56,0.0587,0.0434,0.0092,0.309,random,random,32x32
drimaps,80,24680,0.5,False,40,61,1059,1.5001,1.1067,0,289,289,1.0,527,47.56,0.0739,0.0883,0.0145,0.5986,random,random,32x32
drimaps_no_cycle,80,24680,0.2,False,16,36,217,1.0488,0.8016,0,118,118,1.0,118,47.56,0.0678,0.1568,0.0013,0.2517,random,random,32x32
drimaps_no_classify,80,24680,0.55,False,44,198,1900,2.4521,0.8478,0,221,221,1.0,302,47.56,0.0729,0.0851,0.0135,0.3574,random,random,32x32
drimaps_no_minimal,80,24680,0.4625,False,37,109,1272,2.3911,1.1839,0,319,319,1.0,702,47.56,0.0776,0.0975,0.0139,0.6574,random,random,32x32
drimaps,60,42,0.3167,False,19,73,608,1.9361,1.4839,0,119,119,1.0,214,47.56,0.0364,0.0861,0.0135,0.1716,dense_random,dense_random,32x32
drimaps_no_cycle,60,42,0.1,False,6,15,44,1.5625,1.3792,0,39,39,1.0,39,47.56,0.0363,0.1148,0.0012,0.0681,dense_random,dense_random,32x32
drimaps_no_classify,60,42,0.3333,False,20,188,1096,2.5648,1.4919,0,167,167,1.0,288,47.56,0.0361,0.0915,0.0142,0.1835,dense_random,dense_random,32x32
drimaps_no_minimal,60,42,0.2667,False,16,111,490,1.9553,1.8172,0,277,277,1.0,764,47.56,0.0363,0.0943,0.0183,0.4633,dense_random,dense_random,32x32
